content,kanji,meaning,lesson_number
わたし,私,tôi,1
あなた,貴方,bạn (ngôi thứ II số ít),1
あのひと,あの人,người kia,1
あのかた,あの方,vị kia,1
せんせい,先生,"thầy, cô",1
きょうし,教師,giáo viên,1
がくせい,学生,học sinh,1
かいしゃいん,会社員,nhân viên công ty,1
しゃいん,社員,nhân viên của công ty ~,1
ぎんこういん,銀行員,nhân viên ngân hàng,1
いしゃ,医者,bác sĩ,1
けんきゅうしゃ,研究者,nhà nghiên cứu,1
だいがく,大学,trường đại học,1
びょういん,病院,bệnh viện,1
だれ,誰,ai,1
どなた,何方,vị nào,1
なんさい,何歳,mấy tuổi,1
おいくつ,お幾つ,bao nhiêu tuổi,1
はい,,vâng,1
いいえ,,không,1
はじめまして,初めまして,rất hân hạnh được gặp anh/ chị,1
～からきました,～から来ました,tôi đến từ ~,1
【どうぞ】ようろしく【おねがいします】,【どうぞ】ようろしく【お願いします】,rất vui được làm quen với anh/ chị,1
しつれいですが,失礼ですが,xin lỗi…,1
おなまえは？,お名前は？,tên anh/ chị là gì?,1
こちらは～さんです。,,đây là anh/ chị/ ông/ bà ~.,1
これ,,cái này (gần người nói),2
それ,,cái đó (gần người nghe),2
あれ,,cái kia (xa người nghe và người nói),2
この～,,~ này (gần người nói),2
その～,,~ đó (gần người nghe),2
あの～,,~ kia (xa người nghe và người nói),2
ほん,本,sách,2
じしょ,辞書,từ điển,2
ざっし,雑誌,tạp chí,2
しんぶん,新聞,báo,2
ノート,,vở,2
てちょう,手帳,sổ tay,2
めいし,名刺,danh thiếp,2
カード,,card,2
えんぴつ,鉛筆,bút chì,2
ボールペン,,bút bi,2
シャープペンシル,,bút chì kim,2
かぎ,鍵,chìa khoá,2
とけい,時計,đồng hồ,2
かさ,傘,cái ô,2
かばん,鞄,cặp sách,2
CD,,đĩa CD,2
テレビ,,ti vi,2
ラジオ,,radio,2
カメラ,,máy ảnh,2
コンピューター,,máy tính,2
くるま,車,xe hơi,2
つくえ,机,bàn,2
いす,椅子,ghế,2
チョコレート,,chocolate,2
コーヒー,,café,2
【お】みやげ,【お】土産,quà (đặc sản),2
えいご,英語,tiếng Anh,2
にほんご,日本語,tiếng Nhật,2
なん,何,cái gì,2
そう,,vậy,2
あのう,,"à, ờ…",2
えっ,,hả?,2
どうぞ。,,xin mời.,2
どうも、ありがとう【ございます】。,,Cảm ơn rất nhiều,2
そですか。,,thế à.,2
ちがいます。,違います,"không phải, sai rồi.",2
お,,ôi!,2
これからおせわになります。,これからお世話になります。,từ nay rất mong nhận được sự giúp đỡ,2
